id_obra,autor,titulo,recorrido_principal,recorrido_secundario,estado_recorrido,fuente_decision,evidencia,evidencia_textual,decision_explicita,conflicto_clasificacion,recorridos_en_conflicto,requiere_revision,en_corpus,observaciones
andersonblackindigenous,Mark Anderson,Black and Indigenous,C1,C7|C10,confirmado,decision-academica-andersonblackindigenous-p2-etapa-2-3f.md,decisión de Dirección Académica con lectura documentada,sí,sí,no,,no,sí,P2
atkinsonearliest,Lesley-Gail Atkinson (ed.),The Earliest Inhabitants,C1,,confirmado,decision-academica-atkinsonearliest-p2-etapa-2-3f.md,decisión de Dirección Académica con lectura documentada,sí,sí,no,,no,sí,P2
felicianosantos,Sherina Feliciano-Santos,A Contested Caribbean Indigeneity,C1,C7|C9,confirmado,decision-academica-felicianosantos-p2-etapa-2-3f.md,decisión de Dirección Académica con lectura documentada,sí,sí,no,,no,sí,P2
keeganhofman,William F. Keegan y Corinne L. Hofman,The Caribbean before Columbus,C1,C5,confirmado,piloto-generado.json,"La síntesis arqueológica reconstruye poblamientos, redes interinsulares y mundos indígenas anteriores a la ocupación europea.",sí,sí,no,,sí,sí,lote · decisión: confirmar_con_ajuste_de_esquema; con pendientes declarados
belisodelirium,Aisha M. Beliso-De Jesús,"Excited Delirium: Race, Police Violence, and the Invention of a Disease",C10,C7|C9,confirmado,a01-generado.json,"El cuerpo racializado convertido en diagnóstico y objeto de violencia estatal organiza el libro; la conexión caribeña es diaspórica y religiosa, no territorial.",sí,sí,no,,sí,sí,lote · decisión: confirmar_candidatura_con_nota_diasporica; con pendientes declarados
curtispleasures,Debra Curtis,Pleasures and Perils: Girls' Sexuality in a Caribbean Consumer Culture,C10,C4,confirmado,a01-generado.json,"Sexualidad, coerción, consentimiento y placer estructuran la etnografía; consumo y desigualdad económica son secundarios.",sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
gill,Lyndon K. Gill,Erotic Islands: Art and Activism in the Queer Caribbean,C10,C9,confirmado,a01-generado.json,"El eros es teoría, método y práctica política; arte, espiritualidad y memoria queer amplían la corriente sin desplazarla.",sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
kempadoo,Kamala Kempadoo,"Sexing the Caribbean: Gender, Race and Sexual Labor",C10,C4,confirmado,a01-generado.json,"Género, raza y trabajo sexual se estudian desde cuerpos y relaciones eróticas racializadas; turismo y mercado quedan como dimensión económica.",sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
kutzinskisugar,Vera M. Kutzinski,Sugar's Secrets: Race and the Erotics of Cuban Nationalism,C10,C7,confirmado,a01-generado.json,La figura erótica racializada organiza la crítica del nacionalismo cubano; nación y soberanía son la dimensión secundaria.,sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
nixon_resistingparadise,Angelique V. Nixon,"Resisting Paradise: Tourism, Diaspora, and Sexuality in Caribbean Culture",C10,C4|C5,confirmado,a01-generado.json,La producción cultural y sexual del paraíso articula el libro; turismo y diáspora funcionan como economías y rutas secundarias.,sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
quintero,Ángel Quintero Rivera,Cuerpo y cultura,C10,,confirmado,dictamen-academico-bloque-1-etapa-2-3.md,"C10 principal, sin C3 secundaria",sí,sí,no,,no,sí,P1
stoutafterlove,Noelle M. Stout,After Love: Queer Intimacy and Erotic Economies in Post-Soviet Cuba,C10,C4,confirmado,a01-generado.json,"La intimidad queer, el deseo y las economías eróticas organizan el argumento; la transformación económica es secundaria.",sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
womenancestors,Virginia Kerns,Women and the Ancestors,C10,C9,confirmado,decision-academica-womenancestors-p2-etapa-2-3f.md,decisión de Dirección Académica con lectura documentada,sí,sí,no,,no,sí,P2
hall_slavesocietydanish,Neville A. T. Hall (ed. B. W. Higman),"Slave Society in the Danish West Indies: St. Thomas, St. John and St. Croix",C2,C3|C4,confirmado,a01-generado.json,"El libro define la esclavitud como fundamento de toda la sociedad colonial; rebeliones y emancipación son capítulos de esa arquitectura, no el principio ordenador.",sí,sí,no,,no,sí,lote · decisión: corregir_corriente
handlerlangebarbados,Jerome S. Handler y Frederick W. Lange,Plantation Slavery in Barbados: An Archaeological and Historical Investigation,C2,C9,confirmado,a02-generado.json,"El régimen esclavista de plantación y su cultura material organizan la obra; memoria, entierro y archivo material sostienen una secundaria C9.",sí,sí,no,,no,sí,lote · decisión: corregir_corriente
mintzarea,Sidney W. Mintz,The Caribbean as a Socio-Cultural Area,C2,C4,confirmado,decision-academica-mintzarea-p2-etapa-2-3f.md,decisión de Dirección Académica con lectura documentada,sí,sí,no,,no,sí,P2
morenofraginals,Manuel Moreno Fraginals,El ingenio: complejo económico social cubano del azúcar,C2,C4,confirmado,a01-generado.json,El objeto es el complejo azucarero esclavista; postplantación describe mejor la persistencia posterior que el núcleo histórico del libro.,sí,sí,no,,sí,sí,lote · decisión: corregir_corriente; con pendientes declarados
naveda_esclavoscordoba,Adriana Naveda Chávez-Hita,"Esclavos negros en las haciendas azucareras de Córdoba, Veracruz, 1690-1830",C2,C4,confirmado,s01-generado.json,El estudio se organiza alrededor de la esclavitud negra y el sistema azucarero de Córdoba durante los siglos XVII a XIX; la postplantación queda como persistencia secundaria.,sí,sí,no,,no,sí,lote · decisión: corregir_lengua_y_corriente
sherwood,Marika Sherwood,After Abolition,C2,,confirmado,dictamen-academico-bloque-4-etapa-2-3.md,"C2 principal, sin C4 ni C5 secundaria",sí,sí,no,,no,sí,P1
williamscapitalismo,Eric Williams,Capitalismo y esclavitud (Capitalism and Slavery),C2,C4,confirmado,piloto-generado.json,El libro sitúa la trata y la esclavización antillana en la formación del capitalismo británico y discute la abolición desde la transformación económica.,sí,sí,no,,sí,sí,lote · decisión: confirmar; con pendientes declarados
hazareesingh,Sudhir Hazareesingh,Black Spartacus: The Epic Life of Toussaint Louverture,C3,C7|C9,confirmado,a02-generado.json,"La biografía se organiza alrededor de revolución, emancipación y estrategia de Toussaint; soberanía y memoria política funcionan como secundarias.",sí,sí,no,,no,sí,lote · decisión: corregir_corriente
helgnuncamas,Aline Helg,¡Nunca más esclavos! Una historia comparada de los esclavos que se liberaron en las Américas,C3,C2,confirmado,a01-generado.json,Las estrategias mediante las cuales personas esclavizadas se liberaron articulan la comparación; el régimen esclavista es el contexto secundario.,sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
james,C. L. R. James,The Black Jacobins,C3,C7,confirmado,dictamen-academico-bloque-3-etapa-2-3.md,C3 principal / C7 secundaria,sí,sí,no,,no,sí,P1
price,Richard Price (ed.),Maroon Societies,C3,,confirmado,piloto-generado.json,El volumen organiza una comparación hemisférica de comunidades cimarronas y combina fuentes históricas y estudios antropológicos.,sí,sí,no,,sí,sí,lote · decisión: confirmar; con pendientes declarados
tackysrevolt,Vincent Brown,Tacky's Revolt: The Story of an Atlantic Slave War,C3,C2|C5,confirmado,a01-generado.json,La insurrección es narrada como guerra atlántica con estrategia y redes propias; esclavización y rutas atlánticas son secundarias.,sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
totumo,Dolcey Romero Jaramillo,Los acuerdos y la idealización del palenque en la provincia de Cartagena: el caso del Totumo (1714-1767),C3,,confirmado,piloto-generado.json,El artículo reconstruye acuerdos entre cimarrones y autoridades coloniales y cuestiona la idealización del palenque como libertad absoluta.,sí,sí,no,,sí,sí,lote · decisión: confirmar_con_correccion; con pendientes declarados
alvarezboro,William Álvarez Álvarez,“Esto es el boro”: vidas en la periferia,C4,,confirmado,s01-generado.json,"La etnografía explica precariedad, segregación étnico-racial, violencia urbana y marginación sociopolítica estructural en una periferia afrocaribeña de Cartagena.",sí,sí,no,,sí,sí,lote · decisión: normalizar_lengua_y_confirmar; con pendientes declarados
bestlevitt,Lloyd Best y Kari Polanyi Levitt,Essays on the Theory of Plantation Economy: A Historical and Institutional Approach to Caribbean Economic Development,C4,C7,confirmado,a01-generado.json,La economía de plantación se teoriza como estructura persistente de dependencia; subordinación metropolitana y soberanía económica son secundarias.,sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
bourgoisethnicity,Philippe Bourgois,Ethnicity at Work: Divided Labor on a Central American Banana Plantation,C4,,confirmado,piloto-generado.json,La obra muestra cómo una empresa bananera transnacional organiza la división étnica del trabajo y reproduce jerarquías raciales y de clase en Costa Rica y Panamá.,sí,sí,no,,sí,sí,lote · decisión: confirmar_con_ajuste_de_catalogo; con pendientes declarados
downtownladies,Gina Athena Ulysse,"Downtown Ladies: Informal Commercial Importers, a Haitian Anthropologist, and Self-Making in Jamaica",C4,C5|C10,confirmado,a01-generado.json,"El centro es el trabajo informal transnacional y la autonomía económica de comerciantes; género y cuerpo importan, pero no organizan por sí solos el libro.",sí,sí,no,,no,sí,lote · decisión: corregir_corriente_y_fecha
exceptviolence,Deborah A. Thomas,Exceptional Violence,C4,C5,confirmado,dictamen-academico-bloque-4-etapa-2-3.md,C4 principal / C5 secundaria (C2 descartada),sí,sí,no,,no,sí,P1
figueroa,José Antonio Figueroa,"Realismo mágico, vallenato y violencia política en el Caribe colombiano",C4,C8,confirmado,s01-generado.json,"El argumento central vincula tradicionalismo cultural, poderes locales, violencia contra el campesinado y bloqueo de la modernización agraria; la creolización queda como dimensión secundaria.",sí,sí,no,,sí,sí,lote · decisión: identificar_y_corregir; con pendientes declarados
floresvillalobos,Joan Flores-Villalobos,The Silver Women: How Black Women's Labor Made the Panama Canal,C4,C5|C10,confirmado,a01-generado.json,"El trabajo reproductivo de mujeres migrantes sostiene la infraestructura imperial y la fuerza laboral; diáspora, intimidad y parentesco son secundarios.",sí,sí,no,,no,sí,lote · decisión: confirmar_corriente_y_corregir_fecha
klein_battleparadise,Naomi Klein,The Battle for Paradise: Puerto Rico Takes on the Disaster Capitalists,C4,C6|C7,confirmado,a02-generado.json,"El centro es el capitalismo del desastre, la privatización y la desposesión post-María; ecología del huracán y soberanía son cruces secundarios.",sí,sí,no,,no,sí,lote · decisión: corregir_corriente
lightfoot,Natasha Lightfoot,Troubling Freedom,C4,C3,confirmado,dictamen-academico-bloque-1-etapa-2-3.md,C4 principal / C3 secundaria (C2 descartada),sí,sí,no,,no,sí,P1
peasantscapital,Michel-Rolph Trouillot,Peasants and Capital: Dominica in the World Economy,C4,C7,confirmado,a02-generado.json,"El argumento explica cómo el campesinado dominicano se articula con capital, mercado bananero y sistema mundial; soberanía y dependencia quedan como dimensión secundaria.",sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
politicallife,Deborah A. Thomas,"Political Life in the Wake of the Plantation: Sovereignty, Witnessing, Repair",C4,C7|C9,confirmado,a02-generado.json,"Las lógicas postplantación articulan trabajo, ciudadanía y violencia estatal; soberanía y memoria de la incursión son secundarias sustantivas.",sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
reddock,Rhoda Reddock,"Women, Labour and Politics in Trinidad and Tobago: A History",C4,C10,confirmado,a01-generado.json,"Trabajo, empleo y participación política de las mujeres constituyen la arquitectura histórica del libro; género atraviesa esa economía política.",sí,sí,no,,no,sí,lote · decisión: corregir_corriente
shellerconsuming,Mimi Sheller,Consuming the Caribbean: From Arawaks to Zombies,C4,C5|C8,confirmado,a01-generado.json,"La explotación colonial persiste en consumo, turismo y conocimiento; movilidades y discursos de creolización son secundarios.",sí,sí,no,,no,sí,lote · decisión: confirmar_corriente_y_corregir_fecha
steward,"Julian Steward et al. (con Mintz, Wolf, Padilla Seda)",The People of Puerto Rico: A Study in Social Anthropology,C4,,confirmado,piloto-generado.json,La obra compara subculturas puertorriqueñas configuradas por entornos y regímenes económicos locales; el identificador más antiguo conserva los enlaces citables.,sí,sí,no,,sí,sí,lote · decisión: fusionar_y_confirmar; con pendientes declarados
